REGION_NAME,STATE/REGION,NAICS,NAICS_LDESC,LEVEL,YEAR,GDP,EST_POP
Alaska,AK,61,Educational services,2,2010,171000000.0,713982
Alaska,AK,62,Health care and social assistance,2,2010,2886100000.0,713982
Alaska,AK,621,Ambulatory health care services,3,2010,1392200000.0,713982
Alaska,AK,622,Hospitals,3,2010,942200000.0,713982
Alaska,AK,623,Nursing and residential care facilities,3,2010,153900000.0,713982
Alaska,AK,624,Social assistance,3,2010,397700000.0,713982
Alaska,AK,"71,72","Arts, entertainment, recreation, accommodation, and food services",0,2010,1452100000.0,713982
Alaska,AK,71,"Arts, entertainment, and recreation",2,2010,218600000.0,713982
Alaska,AK,711-712,"Performing arts, spectator sports, museums, and related activities",3,2010,77300000.0,713982
Alaska,AK,713,"Amusement, gambling, and recreation industries",3,2010,141300000.0,713982
Alaska,AK,72,Accommodation and food services,2,2010,1233500000.0,713982
Alaska,AK,721,Accommodation,3,2010,440300000.0,713982
Alaska,AK,722,Food services and drinking places,3,2010,793200000.0,713982
Alaska,AK,81,Other services (except government and government enterprises),2,2010,743100000.0,713982
Alaska,AK,92,Government and government enterprises,2,2010,9313900000.0,713982
Alaska,AK,..2,Federal civilian,1,2010,1983000000.0,713982
Alaska,AK,..3,Military,1,2010,2288200000.0,713982
Alaska,AK,..4,State and local,1,2010,5042700000.0,713982
Alaska,AK,"11,21",Natural resources and mining,0,2010,16254200000.0,713982
Alaska,AK,"42,44-45",Trade,0,2010,3135800000.0,713982
Alaska,AK,"22,48-49",Transportation and utilities,0,2010,6142900000.0,713982
Alaska,AK,"31-33,51",Manufacturing and information,0,2010,2186600000.0,713982
Alaska,AK,..5,Private goods-producing industries 2/,1,2010,19491300000.0,713982
Alaska,AK,..6,Private services-providing industries 3/,1,2010,24848700000.0,713982
Arizona,AZ,..0,All industry total,1,2010,250527000000.0,6407342
Arizona,AZ,..1,Private industries,1,2010,214017600000.0,6407342
Arizona,AZ,11,"Agriculture, forestry, fishing and hunting",2,2010,1649000000.0,6407342
Arizona,AZ,111-112,Farms,3,2010,1150700000.0,6407342
