YEAR,STATE/REGION,GDP_EXP_SUM,REGION_NAME,NAICS,NAICS_LDESC,LEVEL,GDP,EST_POP_x,EST_POP_y
2013,SC,26341157286,South Carolina,..0,All industry total,1,186268300000.0,4766469,4766469
2013,SD,1582153214,South Dakota,..0,All industry total,1,45498600000.0,842751,842751
2013,TN,32473718590,Tennessee,..0,All industry total,1,296756300000.0,6496943,6496943
2013,TX,277715515839,Texas,..0,All industry total,1,1526781900000.0,26479646,26479646
2013,UT,16111186086,Utah,..0,All industry total,1,135344299999.99998,2898773,2898773
2013,VA,17896130606,Virginia,..0,All industry total,1,456911600000.0,8255861,8255861
2013,VT,4026539545,Vermont,..0,All industry total,1,29477600000.0,626603,626603
2013,WA,81629977930,Washington,..0,All industry total,1,416924100000.0,6966252,6966252
2013,WI,23110467863,Wisconsin,..0,All industry total,1,283791400000.0,5738012,5738012
2013,WV,8731720788,West Virginia,..0,All industry total,1,71758600000.0,1854768,1854768
2013,WY,1350619355,Wyoming,..0,All industry total,1,39365600000.0,582620,582620
2014,AK,5111164364,Alaska,..0,All industry total,1,56587400000.0,737075,737075
2014,AL,19450396592,Alabama,..0,All industry total,1,197064400000.0,4843737,4843737
2014,AR,6866248634,Arkansas,..0,All industry total,1,117388700000.0,2968759,2968759
2014,AZ,21247281881,Arizona,..0,All industry total,1,286676000000.0,6732873,6732873
2014,CA,173868587862,California,..0,All industry total,1,2342218800000.0,38586706,38586706
2014,CO,8363706004,Colorado,..0,All industry total,1,309223900000.0,5352637,5352637
2014,CT,15962841243,Connecticut,..0,All industry total,1,247114700000.0,3595697,3595697
2014,DE,5267417899,Delaware,..0,All industry total,1,68606000000.0,933131,933131
2014,FL,58438831859,Florida,..0,All industry total,1,860112600000.0,19853880,19853880
2014,GA,39412653245,Georgia,..0,All industry total,1,493370300000.0,10071204,10071204
2014,HI,1447489746,Hawaii,..0,All industry total,1,77043000000.0,1415335,1415335
2014,IA,15111534141,Iowa,..0,All industry total,1,173734200000.0,3110643,3110643
2014,ID,5137755733,Idaho,..0,All industry total,1,64501700000.0,1632248,1632248
2014,IL,68394004251,Illinois,..0,All industry total,1,772291700000.0,12885092,12885092
2014,IN,35589050696,Indiana,..0,All industry total,1,329360900000.0,6596019,6596019
2014,KS,12021862442,Kansas,..0,All industry total,1,150276100000.0,2901861,2901861
2014,KY,27757391814,Kentucky,..0,All industry total,1,188326400000.0,4416992,4416992
2014,LA,64770099653,Louisiana,..0,All industry total,1,240965000000.0,4645938,4645938
2014,MA,27384173954,Massachusetts,..0,All industry total,1,469824900000.0,6764864,6764864
2014,MD,12228280714,Maryland,..0,All industry total,1,351743100000.0,5960064,5960064
2014,ME,2811060491,Maine,..0,All industry total,1,56537400000.0,1331217,1331217
2014,MI,57573110364,Michigan,..0,All industry total,1,456123500000.0,9932033,9932033
2014,MN,21397601177,Minnesota,..0,All industry total,1,324701500000.0,5452665,5452665
2014,MO,14189644211,Missouri,..0,All industry total,1,289340700000.0,6059130,6059130
2014,MS,11484927655,Mississippi,..0,All industry total,1,105219500000.0,2991892,2991892
2014,MT,1544908682,Montana,..0,All industry total,1,45203800000.0,1022657,1022657
2014,NC,31420001053,North Carolina,..0,All industry total,1,482295700000.0,9937295,9937295
2014,ND,5513078376,North Dakota,..0,All industry total,1,61108300000.0,738736,738736
2014,NE,7889684505,Nebraska,..0,All industry total,1,112763300000.0,1879955,1879955
2014,NH,4233171217,New Hampshire,..0,All industry total,1,73455100000.0,1334257,1334257
2014,NJ,36586974597,New Jersey,..0,All industry total,1,543824100000.0,8867277,8867277
2014,NM,3801606959,New Mexico,..0,All industry total,1,92523400000.0,2090236,2090236
2014,NV,7691747589,Nevada,..0,All industry total,1,136918400000.0,2818935,2818935
2014,NY,88834326287,New York,..0,All industry total,1,1434606300000.0,19653431,19653431
2014,OH,52641380990,Ohio,..0,All industry total,1,597152300000.0,11606573,11606573
2014,OK,6308264729,Oklahoma,..0,All industry total,1,197074100000.0,3879187,3879187
2014,OR,20888784627,Oregon,..0,All industry total,1,187837600000.0,3965447,3965447
2014,PA,40410834695,Pennsylvania,..0,All industry total,1,695546600000.0,12792392,12792392
2014,RI,2388479292,Rhode Island,..0,All industry total,1,54612500000.0,1056511,1056511
2014,SC,29773013706,South Carolina,..0,All industry total,1,195744400000.0,4826858,4826858
2014,SD,1577588645,South Dakota,..0,All industry total,1,47159900000.0,849670,849670
2014,TN,33250895441,Tennessee,..0,All industry total,1,307448500000.0,6544617,6544617
2014,TX,285559318623,Texas,..0,All industry total,1,1592177600000.0,26963092,26963092
2014,UT,12224102182,Utah,..0,All industry total,1,142627700000.0,2938327,2938327
2014,VA,19390790669,Virginia,..0,All industry total,1,465601700000.0,8315430,8315430
2014,VT,3669605649,Vermont,..0,All industry total,1,30359400000.0,625693,625693
2014,WA,90558268785,Washington,..0,All industry total,1,439851200000.0,7057531,7057531
2014,WI,23425570899,Wisconsin,..0,All industry total,1,296169900000.0,5753199,5753199
2014,WV,7597011063,West Virginia,..0,All industry total,1,73042600000.0,1850569,1850569
2014,WY,1757262877,Wyoming,..0,All industry total,1,40573900000.0,583159,583159
2015,AK,4620072732,Alaska,..0,All industry total,1,51574200000.0,738430,738430
2015,AL,19322187070,Alabama,..0,All industry total,1,203113300000.0,4854803,4854803
2015,AR,5870914766,Arkansas,..0,All industry total,1,118573600000.0,2979732,2979732
2015,AZ,22654209483,Arizona,..0,All industry total,1,298942200000.0,6832810,6832810
2015,CA,165360377800,California,..0,All industry total,1,2487156400000.0,38904296,38904296
2015,CO,7949646477,Colorado,..0,All industry total,1,320895900000.0,5454328,5454328
2015,CT,15241755287,Connecticut,..0,All industry total,1,260648500000.0,3588561,3588561
2015,DE,5407657594,Delaware,..0,All industry total,1,72352500000.0,942065,942065
2015,FL,53903078437,Florida,..0,All industry total,1,918464300000.0,20219111,20219111
2015,GA,38596033966,Georgia,..0,All industry total,1,525516800000.00006,10183353,10183353
2015,HI,1896394504,Hawaii,..0,All industry total,1,81410200000.0,1422999,1422999
2015,IA,13238360275,Iowa,..0,All industry total,1,181471700000.0,3122541,3122541
2015,ID,4302089548,Idaho,..0,All industry total,1,66064899999.99999,1652495,1652495
2015,IL,63368690936,Illinois,..0,All industry total,1,802592000000.0,12859585,12859585
2015,IN,33819142544,Indiana,..0,All industry total,1,333163800000.0,6611442,6611442
2015,KS,10689483823,Kansas,..0,All industry total,1,155699000000.0,2910717,2910717
2015,KY,27636602594,Kentucky,..0,All industry total,1,194621200000.0,4429126,4429126
2015,LA,48678638510,Louisiana,..0,All industry total,1,234324200000.0,4666998,4666998
2015,MA,25289294372,Massachusetts,..0,All industry total,1,497767000000.0,6797484,6797484
2015,MD,10052096811,Maryland,..0,All industry total,1,367314100000.0,5988528,5988528
2015,ME,2761768870,Maine,..0,All industry total,1,58755800000.0,1329098,1329098
2015,MI,53944933483,Michigan,..0,All industry total,1,479222700000.0,9934483,9934483
2015,MN,20013268583,Minnesota,..0,All industry total,1,336762000000.0,5484002,5484002
2015,MO,13646633414,Missouri,..0,All industry total,1,299597700000.0,6075411,6075411
2015,MS,10848570073,Mississippi,..0,All industry total,1,106623900000.0,2990231,2990231
2015,MT,1404092314,Montana,..0,All industry total,1,46542400000.0,1031495,1031495
2015,NC,30201786519,North Carolina,..0,All industry total,1,508672400000.0,10037218,10037218
2015,ND,4027220564,North Dakota,..0,All industry total,1,56952200000.0,755537,755537
2015,NE,6663666425,Nebraska,..0,All industry total,1,117402300000.0,1892059,1892059
2015,NH,4001321678,New Hampshire,..0,All industry total,1,77385800000.0,1337480,1337480
2015,NJ,32063000744,New Jersey,..0,All industry total,1,565807700000.0,8870312,8870312
2015,NM,3781702640,New Mexico,..0,All industry total,1,90779400000.0,2090071,2090071
2015,NV,8666515430,Nevada,..0,All industry total,1,145786800000.0,2868531,2868531
2015,NY,83124545673,New York,..0,All industry total,1,1498474700000.0,19657321,19657321
2015,OH,51261855967,Ohio,..0,All industry total,1,615275500000.0,11622315,11622315
2015,OK,5250680332,Oklahoma,..0,All industry total,1,187364700000.0,3910518,3910518
2015,OR,20057330956,Oregon,..0,All industry total,1,200592600000.0,4018542,4018542
2015,PA,39439356000,Pennsylvania,..0,All industry total,1,716534300000.0,12789838,12789838
2015,RI,2132706241,Rhode Island,..0,All industry total,1,56604000000.0,1056886,1056886
2015,SC,31021185321,South Carolina,..0,All industry total,1,207510000000.0,4896006,4896006
2015,SD,1420507519,South Dakota,..0,All industry total,1,48678900000.0,854663,854663
2015,TN,32616848576,Tennessee,..0,All industry total,1,326382500000.0,6595354,6595354
2015,TX,248780410089,Texas,..0,All industry total,1,1585985900000.0,27468531,27468531
2015,UT,13307637767,Utah,..0,All industry total,1,149762100000.0,2983626,2983626
2015,VA,17801081926,Virginia,..0,All industry total,1,485540900000.0,8367303,8367303
2015,VT,3176353744,Vermont,..0,All industry total,1,31152400000.0,625810,625810
2015,WA,86374679575,Washington,..0,All industry total,1,467590600000.0,7167287,7167287
2015,WI,22441969520,Wisconsin,..0,All industry total,1,308304500000.0,5762927,5762927
2015,WV,5832736966,West Virginia,..0,All industry total,1,71713400000.0,1843332,1843332
2015,WY,1174994159,Wyoming,..0,All industry total,1,38624800000.0,586389,586389
2016,AK,4350280935,Alaska,..0,All industry total,1,51121800000.0,742575,742575
2016,AL,20471198733,Alabama,..0,All industry total,1,208824300000.0,4866824,4866824
2016,AR,5722152053,Arkansas,..0,All industry total,1,120987400000.0,2991815,2991815
2016,AZ,22003600454,Arizona,..0,All industry total,1,313787100000.0,6944767,6944767
2016,CA,163260623585,California,..0,All industry total,1,2586485200000.0,39149186,39149186
2016,CO,7569450383,Colorado,..0,All industry total,1,330565900000.0,5543844,5543844
2016,CT,14394037172,Connecticut,..0,All industry total,1,264760400000.00003,3579830,3579830
2016,DE,4517475621,Delaware,..0,All industry total,1,70021500000.0,949989,949989
2016,FL,52036275171,Florida,..0,All industry total,1,964500800000.0,20627237,20627237
2016,GA,35673171765,Georgia,..0,All industry total,1,554903200000.0,10308442,10308442
2016,HI,795459312,Hawaii,..0,All industry total,1,84287200000.0,1428885,1428885
2016,IA,12330347368,Iowa,..0,All industry total,1,183834800000.0,3133210,3133210
2016,ID,4876923159,Idaho,..0,All industry total,1,69185200000.0,1684036,1684036
2016,IL,59862080853,Illinois,..0,All industry total,1,813561600000.0,12821709,12821709
2016,IN,34653128929,Indiana,..0,All industry total,1,342716600000.0,6637898,6637898
2016,KS,10154596118,Kansas,..0,All industry total,1,162144500000.0,2912977,2912977
2016,KY,29192167886,Kentucky,..0,All industry total,1,197944800000.0,4440306,4440306
2016,LA,48367038279,Louisiana,..0,All industry total,1,227440300000.0,4681346,4681346
2016,MA,25893025431,Massachusetts,..0,All industry total,1,514108000000.0,6827280,6827280
2016,MD,9655988695,Maryland,..0,All industry total,1,386496400000.0,6007014,6007014
2016,ME,2863225983,Maine,..0,All industry total,1,61092200000.0,1332348,1332348
2016,MI,54752035690,Michigan,..0,All industry total,1,494752500000.0,9954117,9954117
2016,MN,19200802964,Minnesota,..0,All industry total,1,345248800000.0,5525360,5525360
2016,MO,13935077893,Missouri,..0,All industry total,1,304143300000.0,6091384,6091384
2016,MS,10504650171,Mississippi,..0,All industry total,1,107795400000.0,2990595,2990595
2016,MT,1360078277,Montana,..0,All industry total,1,45859400000.0,1042137,1042137
2016,NC,30183276640,North Carolina,..0,All industry total,1,528284300000.00006,10161802,10161802
2016,ND,5294202941,North Dakota,..0,All industry total,1,52666300000.0,756114,756114
2016,NE,6381398651,Nebraska,..0,All industry total,1,119389800000.0,1906483,1906483
2016,NH,4143394613,New Hampshire,..0,All industry total,1,79759700000.0,1343694,1343694
