YEAR,STATE/REGION,GDP_IMP_SUM,REGION_NAME,NAICS,NAICS_LDESC,LEVEL,GDP,EST_POP_x,EST_POP_y
2016,KS,11133831703,Kansas,..0,All industry total,1,162144500000.0,2912977,2912977
2016,KY,39974493763,Kentucky,..0,All industry total,1,197944800000.0,4440306,4440306
2016,LA,32421775246,Louisiana,..0,All industry total,1,227440300000.0,4681346,4681346
2016,MA,33781643724,Massachusetts,..0,All industry total,1,514108000000.0,6827280,6827280
2016,MD,30683579168,Maryland,..0,All industry total,1,386496400000.0,6007014,6007014
2016,ME,3353603292,Maine,..0,All industry total,1,61092200000.0,1332348,1332348
2016,MI,134884158580,Michigan,..0,All industry total,1,494752500000.0,9954117,9954117
2016,MN,26999395218,Minnesota,..0,All industry total,1,345248800000.0,5525360,5525360
2016,MO,17189608103,Missouri,..0,All industry total,1,304143300000.0,6091384,6091384
2016,MS,13928181004,Mississippi,..0,All industry total,1,107795400000.0,2990595,2990595
2016,MT,3488983286,Montana,..0,All industry total,1,45859400000.0,1042137,1042137
2016,NC,47038505181,North Carolina,..0,All industry total,1,528284300000.00006,10161802,10161802
2016,ND,2561257935,North Dakota,..0,All industry total,1,52666300000.0,756114,756114
2016,NE,3555689539,Nebraska,..0,All industry total,1,119389800000.0,1906483,1906483
2016,NH,8608175085,New Hampshire,..0,All industry total,1,79759700000.0,1343694,1343694
